qid	label	docid	context_only_jaccard	context_only_overlap_bigram	context_only_overlap_tfidf	context_only_query_overlap	context_only_similarity	embedding_similarity	goal_only_jaccard	goal_only_overlap_bigram	goal_only_overlap_tfidf	goal_only_query_overlap	goal_only_similarity	progress_alignment_abs_diff	query_length	query_overlap_ratio	retrieved_text_length	retriever_score	source_aa_lcr	source_aa_omniscience_accuracy	source_aai	source_context_window	source_critpt	source_gdpval_aa	source_gpqa_diamond	source_hle	source_ifbench	source_scicode	source_tau_squared_bench_telecom	source_terminal_bench_hard	state_only_jaccard	state_only_overlap_bigram	state_only_overlap_tfidf	state_only_query_overlap	state_only_similarity	step_index	success_flag	task_match	task_variation_match	text_overlap_bigram	text_overlap_jaccard	text_overlap_tfidf	total_steps	trajectory_length	agent_type__anthropic_claude_opus_4	agent_type__anthropic_claude_opus_4_6	agent_type__anthropic_claude_sonnet_4_6	agent_type__claude_3_5_sonnet	agent_type__deepseek_deepseek_chat_v3_1	agent_type__deepseek_deepseek_r1	agent_type__deepseek_deepseek_r1_0528	agent_type__deepseek_deepseek_v3_2	agent_type__google_gemini_2_5_flash	agent_type__google_gemini_2_5_pro	agent_type__gpt_4_turbo	agent_type__gpt_4_turbo_preview	agent_type__meta_llama_llama_4_maverick	agent_type__minimax_minimax_m1	agent_type__minimax_minimax_m2	agent_type__mistralai_mistral_large_2512	agent_type__openai_gpt_5_4	agent_type__openai_gpt_5_4_nano	agent_type__openai_gpt_oss_120b	agent_type__openai_gpt_oss_20b	agent_type__qwen_qwen3_235b_a22b	agent_type__qwen_qwen3_32b	agent_type__qwen_qwen3_5_flash_02_23	agent_type__qwen_qwen3_max	agent_type__x_ai_grok_3_mini	agent_type__x_ai_grok_4_1_fast	agent_type__x_ai_grok_4_20	agent_type__x_ai_grok_4_fast	agent_type__z_ai_glm_4_5	agent_type__z_ai_glm_5
14	1.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_10|||intent_template_id_328|||task_id_662|||4	0.07307692307692308	0.02569593147751606	0.5097102388577548	0.07509881422924901	0.45528854917403433	0.4166691506635789	0.12903225806451613	0.0	0.10644693688162135	0.25	0.6436152364306236	1.0	1303.0	0.1444866920152091	95.0	0.1845395863056183	48.0	25.0	26.0	128.0	0.0	0.0	78.0	12.0	44.0	35.0	43.0	22.0	0.16260162601626016	0.08121827411167512	0.5207088970717532	0.18181818181818182	0.3750223803841108	0.0	1.0	0.0	0.0	0.045368620037807186	0.13058419243986255	0.6565898017693039	3.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
16	6.0	run_ltr_train_openrouter34_s42_bundle_deepseek_deepseek-r1_rank_15|||intent_template_id_328|||task_id_662|||4	0.0708955223880597	0.025052192066805846	0.4359436522404395	0.07509881422924901	0.40049979708491384	0.42514296682866	0.07142857142857142	0.0	0.025422730200228533	0.125	0.6316666602361262	2.0	1303.0	0.14068441064638784	175.0	0.1893424391746521	31.0	14.0	21.0	131.0	0.0	3.0	61.0	5.0	58.0	34.0	50.0	5.0	0.176	0.09090909090909091	0.3089154231722285	0.2	0.4432357869297266	0.0	1.0	0.0	0.0	0.04621072088724584	0.12416107382550336	0.5168675577553545	19.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
17	6.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_1|||intent_template_id_189|||task_id_511|||2	0.0	0.0	0.0	0.0	0.0	0.3320738485910092	0.3157894736842105	0.15	0.5159190669254856	0.75	0.5875402904771571	0.0	1182.0	0.13090909090909092	187.0	0.11239089071750641	18.0	26.0	30.0	2000.0	0.0	21.0	79.0	23.0	48.0	32.0	70.0	22.0	0.12690355329949238	0.08865248226950355	0.7708378396612471	0.13227513227513227	0.29474843788577554	0.0	1.0	0.0	0.0	0.0728476821192053	0.12244897959183673	0.8205299994864995	4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
17	6.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_10|||intent_template_id_189|||task_id_511|||2	0.06909090909090909	0.0407673860911271	0.5232184890652494	0.07063197026022305	0.44073637958557177	0.35926058597911475	0.6666666666666666	0.4444444444444444	0.5398704773647945	0.75	0.4747378384281147	1.0	1182.0	0.12727272727272726	209.0	0.1328660547733307	48.0	25.0	26.0	128.0	0.0	0.0	78.0	12.0	44.0	35.0	43.0	22.0	0.11442786069651742	0.08041958041958042	0.45855371210082124	0.12169312169312169	0.2918922004772098	0.0	1.0	1.0	0.0	0.0779510022271715	0.1206896551724138	0.6515715379989653	11.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
18	0.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_5|||intent_template_id_189|||task_id_511|||2	0.06859205776173286	0.04047619047619048	0.545218302560597	0.07063197026022305	0.35745205406866687	0.3615355687128431	0.6666666666666666	0.4444444444444444	0.5398704773647945	0.75	0.4747378384281147	2.0	1182.0	0.12727272727272726	230.0	0.13193747401237488	48.0	25.0	26.0	128.0	0.0	0.0	78.0	12.0	44.0	35.0	43.0	22.0	0.11442786069651742	0.08041958041958042	0.4626578701697484	0.12169312169312169	0.28820219627108856	0.0	1.0	1.0	0.0	0.07743362831858407	0.11986301369863013	0.6381035811479899	11.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
19	6.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_20|||intent_template_id_189|||task_id_511|||2	0.08532423208191127	0.046875	0.5335432094498558	0.09293680297397769	0.4052374357157925	0.37155543846531425	0.6666666666666666	0.4444444444444444	0.5398704773647945	0.75	0.4747378384281147	11.0	1182.0	0.14181818181818182	36.0	0.1498458832502365	48.0	25.0	26.0	128.0	0.0	0.0	78.0	12.0	44.0	35.0	43.0	22.0	0.07920792079207921	0.044673539518900345	0.41080261187489625	0.08465608465608465	0.4363284862983278	0.0	1.0	1.0	0.0	0.07331975560081466	0.12460063897763578	0.6094165077827224	12.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20	6.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_15|||intent_template_id_189|||task_id_511|||2	0.06859205776173286	0.04047619047619048	0.515615411442343	0.07063197026022305	0.35508395511649166	0.3637796535977899	0.6666666666666666	0.4444444444444444	0.5398704773647945	0.75	0.4747378384281147	2.0	1182.0	0.12727272727272726	218.0	0.14381451904773712	48.0	25.0	26.0	128.0	0.0	0.0	78.0	12.0	44.0	35.0	43.0	22.0	0.11442786069651742	0.08041958041958042	0.45643626458382786	0.12169312169312169	0.2899365119360949	0.0	1.0	1.0	0.0	0.07743362831858407	0.11986301369863013	0.6313779748835839	12.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
21	2.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_1|||intent_template_id_206|||task_id_359|||2	0.0	0.0	0.0	0.0	0.0	0.3288152838882485	0.2727272727272727	0.0	0.30582213125611996	0.375	0.6647342949588784	0.0	1176.0	0.1111111111111111	143.0	0.11300547420978546	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.1044776119402985	0.07342657342657342	0.5352293811102135	0.1111111111111111	0.2928885928197695	0.0	1.0	0.0	0.0	0.0593607305936073	0.10526315789473684	0.7259531999639877	4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
21	2.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_20|||intent_template_id_206|||task_id_359|||2	0.0	0.0	0.0	0.0	0.0	0.36503013213042806	0.5454545454545454	0.3333333333333333	0.35343687181160494	0.75	0.5191664114066776	0.0	1176.0	0.12222222222222222	175.0	0.12076158821582794	54.0	21.0	24.0	1000.0	0.0	25.0	70.0	8.0	42.0	37.0	34.0	3.0	0.1044776119402985	0.07342657342657342	0.41782305925545654	0.1111111111111111	0.2900215965035304	0.0	1.0	1.0	0.0	0.06864988558352403	0.11578947368421053	0.6740584212628283	17.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	8.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_5|||intent_template_id_206|||task_id_359|||2	0.0	0.0	0.0	0.0	0.0	0.33403432993537074	0.21428571428571427	0.13333333333333333	0.3573164041285031	0.375	0.5914891711223523	0.0	1176.0	0.11851851851851852	102.0	0.11253532767295837	31.0	14.0	21.0	131.0	0.0	3.0	61.0	5.0	58.0	34.0	50.0	5.0	0.1044776119402985	0.07342657342657342	0.5505817841324893	0.1111111111111111	0.28729646288668464	0.0	1.0	0.0	0.0	0.061224489795918366	0.11188811188811189	0.7397237091618301	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
23	8.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_15|||intent_template_id_206|||task_id_359|||2	0.09785932721712538	0.04642166344294004	0.08581107544646634	0.12167300380228137	0.4183423662664992	0.3624404340366397	0.7	0.45454545454545453	0.7108040352542697	0.875	0.35643613757700243	6.0	1176.0	0.22592592592592592	182.0	0.11889059841632843	38.94117647058823	22.647058823529413	26.352941176470587	575.9117647058823	0.6176470588235294	17.441176470588236	68.08823529411765	9.911764705882353	44.8235294117647	34.3235294117647	49.794117647058826	17.470588235294116	0.19047619047619047	0.1118421052631579	0.0337880435613001	0.21164021164021163	0.40556536475165456	0.0	1.0	1.0	0.0	0.09712230215827339	0.17630057803468208	0.07172996503778678	8.0	2.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	8.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_10|||intent_template_id_206|||task_id_359|||2	0.09785932721712538	0.04642166344294004	0.08581107544646634	0.12167300380228137	0.4183423662664992	0.3624404340366397	0.7	0.45454545454545453	0.7108040352542697	0.875	0.35643613757700243	6.0	1176.0	0.22592592592592592	182.0	0.12198002636432648	38.94117647058823	22.647058823529413	26.352941176470587	575.9117647058823	0.6176470588235294	17.441176470588236	68.08823529411765	9.911764705882353	44.8235294117647	34.3235294117647	49.794117647058826	17.470588235294116	0.19047619047619047	0.1118421052631579	0.0337880435613001	0.21164021164021163	0.40556536475165456	0.0	1.0	1.0	0.0	0.09712230215827339	0.17630057803468208	0.07172996503778678	8.0	2.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	6.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_5|||intent_template_id_214|||task_id_190|||0	0.0	0.0	0.0	0.0	0.0	0.2437573143302246	0.8181818181818182	0.6363636363636364	0.7038286880827456	0.9	0.3120008507125335	1.0	351.0	0.178743961352657	105.0	0.0641699805855751	52.0	31.0	19.0	128.0	1.0	0.0	71.0	9.0	39.0	36.0	11.0	6.0	0.1073170731707317	0.08013937282229965	0.399814355746968	0.11398963730569948	0.3185624194082231	0.0	1.0	1.0	0.0	0.11214953271028037	0.16517857142857142	0.6438269520262628	4.0	3.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_10|||intent_template_id_214|||task_id_190|||0	0.0	0.0	0.0	0.0	0.0	0.25678688188211096	0.8181818181818182	0.6363636363636364	0.7038286880827456	0.9	0.3120008507125335	2.0	351.0	0.1642512077294686	65.0	0.07177230715751648	52.0	31.0	19.0	128.0	1.0	0.0	71.0	9.0	39.0	36.0	11.0	6.0	0.07281553398058252	0.0410958904109589	0.37884178283961245	0.07772020725388601	0.4065867944095075	0.0	1.0	1.0	0.0	0.09523809523809523	0.14782608695652175	0.6277810303008535	4.0	2.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	6.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_15|||intent_template_id_214|||task_id_190|||0	0.0	0.0	0.0	0.0	0.0	0.26387905848941245	0.8181818181818182	0.6363636363636364	0.7924284399171819	0.9	0.3086709348672801	0.0	351.0	0.16908212560386474	102.0	0.07563801109790802	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.0970873786407767	0.06551724137931035	0.545532334214391	0.10362694300518134	0.2967889224478531	0.0	1.0	1.0	0.0	0.10410094637223975	0.1583710407239819	0.7273914074861676	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
29	6.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_20|||intent_template_id_214|||task_id_190|||0	0.0	0.0	0.0	0.0	0.0	0.26595393091610425	0.8181818181818182	0.6363636363636364	0.7038286880827456	0.9	0.3120008507125335	0.0	351.0	0.16908212560386474	137.0	0.07971616089344025	52.0	31.0	19.0	128.0	1.0	0.0	71.0	9.0	39.0	36.0	11.0	6.0	0.0970873786407767	0.06551724137931035	0.4038757489111449	0.10362694300518134	0.2988255244206244	0.0	1.0	1.0	0.0	0.10410094637223975	0.1583710407239819	0.6570043754127921	4.0	4.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	7.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_1|||intent_template_id_249|||task_id_213|||5	0.050595238095238096	0.02707581227436823	0.692713393223438	0.051829268292682924	0.298555093313616	0.2653288194427307	0.625	0.625	0.6605912323852328	0.7692307692307693	0.47356175881515583	2.0	2020.0	0.10650887573964497	206.0	0.06928187608718872	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.09183673469387756	0.06060606060606061	0.6709591158574769	0.0967741935483871	0.26108907399125225	0.0	1.0	1.0	0.0	0.05912162162162162	0.10140845070422536	0.7479091172358885	15.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
31	3.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_15|||intent_template_id_249|||task_id_213|||5	0.050595238095238096	0.02707581227436823	0.6292940527182651	0.051829268292682924	0.29659783288178115	0.2766599617500692	0.17391304347826086	0.07692307692307693	0.38274330817626834	0.3076923076923077	0.3953596426153616	2.0	2020.0	0.10946745562130178	200.0	0.08217541128396988	62.0	25.0	21.0	1000.0	1.0	10.0	79.0	11.0	50.0	39.0	32.0	14.0	0.09183673469387756	0.06060606060606061	0.5560320678894317	0.0967741935483871	0.2598465220880672	0.0	1.0	0.0	0.0	0.044850498338870434	0.10422535211267606	0.678132344224059	8.0	5.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	7.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_20|||intent_template_id_249|||task_id_213|||5	0.05029585798816568	0.026881720430107527	0.589279969989343	0.051829268292682924	0.2710129380553296	0.2794817182408876	0.17391304347826086	0.07692307692307693	0.38274330817626834	0.3076923076923077	0.3953596426153616	4.0	2020.0	0.10946745562130178	142.0	0.08310528844594955	62.0	25.0	21.0	1000.0	1.0	10.0	79.0	11.0	50.0	39.0	32.0	14.0	0.08542713567839195	0.0457516339869281	0.515070971113837	0.0913978494623656	0.3782843077858795	0.0	1.0	0.0	0.0	0.043478260869565216	0.10164835164835165	0.6721602766903259	7.0	3.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	3.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_1|||intent_template_id_328|||task_id_661|||5	0.07028753993610223	0.03460837887067395	0.7646099355071232	0.0718954248366013	0.33731266003523935	0.3864056824237533	0.16	0.0	0.19422632861316944	0.36363636363636365	0.650632318439499	3.0	2731.0	0.12738853503184713	83.0	0.13763004541397095	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.10185185185185185	0.053475935828877004	0.8048958277962948	0.1073170731707317	0.33897448807227304	0.0	1.0	0.0	0.0	0.05065359477124183	0.11695906432748537	0.8603859105806112	5.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
32	3.0	run_ltr_train_openrouter34_s42_bundle_qwen_qwen3-32b_rank_5|||intent_template_id_328|||task_id_661|||5	0.06752411575562701	0.03302752293577982	0.609724570107148	0.06862745098039216	0.43366036262033353	0.3972964367634073	0.16	0.0	0.19422632861316944	0.36363636363636365	0.6506325594908033	1.0	2731.0	0.12101910828025478	86.0	0.14579634368419647	0.0	17.0	15.0	33.0	0.0	0.0	67.0	8.0	36.0	35.0	30.0	3.0	0.09174311926605505	0.04521276595744681	0.6397358029635621	0.0975609756097561	0.337927838263941	0.0	1.0	0.0	0.0	0.04597701149425287	0.11143695014662756	0.7717708133629297	3.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
